,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
9375.000,24560300.000,0.000,0.000,1.000,1.000,0.769,0.159,0.800,0.829
9376.000,24560301.000,0.000,0.000,1.000,1.000,0.660,0.402,0.941,0.598
9377.000,24560302.000,0.000,0.000,0.941,1.062,0.708,0.235,0.538,0.775
9378.000,24560303.000,0.000,0.000,1.000,1.000,0.368,0.257,3.000,0.730
9379.000,24560304.000,0.000,0.000,1.000,1.000,0.750,0.388,0.481,0.604
9380.000,24560305.000,0.000,0.000,1.071,1.000,0.636,0.324,2.667,0.691
9381.000,24560306.000,0.000,0.000,1.053,1.000,0.679,0.333,2.000,0.667
9382.000,24560307.000,0.000,0.000,1.000,0.955,0.595,0.402,1.000,0.598
9383.000,24560308.000,0.000,0.000,1.000,1.000,0.462,0.260,2.167,0.740
9384.000,24560309.000,0.000,0.000,0.971,1.000,0.756,0.366,0.522,0.634
9385.000,24560310.000,0.000,0.000,1.000,1.062,0.533,0.224,0.765,0.776
9386.000,24560311.000,0.000,0.000,1.077,0.929,0.929,0.230,0.000,0.770
9387.000,24560312.000,0.125,0.000,0.937,1.067,0.842,0.218,0.750,0.782
9388.000,24560313.000,0.000,0.286,0.933,0.786,0.682,0.367,0.667,0.633
9389.000,24560314.000,0.000,0.000,0.944,1.000,0.818,0.349,1.000,0.667
9390.000,24560315.000,0.000,0.000,1.056,1.000,0.783,0.228,0.556,0.772
9391.000,24560316.000,0.000,0.000,1.000,1.000,0.731,0.263,0.538,0.758
9392.000,24560317.000,0.000,0.000,1.000,1.000,0.812,0.211,0.500,0.789
9393.000,24560318.000,0.000,0.000,1.000,0.968,0.816,0.306,0.364,0.694
9394.000,24560319.000,0.000,0.000,1.000,1.000,0.630,0.248,1.111,0.743
9395.000,24560320.000,0.000,0.000,1.043,1.000,0.885,0.283,0.250,0.707
9396.000,24560321.000,0.000,0.062,1.000,0.969,0.696,0.397,0.824,0.612
9397.000,24560322.000,0.000,0.000,1.000,1.000,0.732,0.446,1.571,0.554
9398.000,24560323.000,0.105,0.000,0.947,1.056,1.000,0.200,0.250,0.800
9399.000,24560324.000,0.000,0.000,1.000,1.000,0.750,0.308,0.545,0.679
9400.000,24560325.000,0.087,0.000,1.000,0.957,0.548,0.307,0.857,0.701
9401.000,24560326.000,0.000,0.000,1.000,0.964,0.824,0.324,0.375,0.676
